Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S08001,26,Female,Undergraduate,Python Basics,441,2,72,6,84,Medium,74,Reading/Writing,4,No
S08002,22,Female,High School,Machine Learning,394,4,96,32,57,High,64,Visual,2,Yes
S08003,26,Male,Undergraduate,Cybersecurity,207,2,61,24,98,High,34,Reading/Writing,5,No
S08004,20,Other,Undergraduate,Machine Learning,411,1,51,6,72,High,30,Reading/Writing,2,Yes
S08005,42,Male,Undergraduate,Data Science,250,1,95,21,55,Medium,48,Reading/Writing,1,No
S08006,17,Male,Undergraduate,Python Basics,496,2,33,3,90,Low,92,Reading/Writing,3,No
S08007,18,Female,Undergraduate,Cybersecurity,467,4,57,38,40,High,69,Reading/Writing,4,Yes
S08008,35,Other,High School,Machine Learning,180,4,43,36,50,High,30,Reading/Writing,3,Yes
S08009,21,Female,Undergraduate,Cybersecurity,316,1,95,22,72,Medium,93,Kinesthetic,5,No
S08010,47,Male,High School,Python Basics,332,4,57,2,63,Medium,46,Reading/Writing,1,No
S08011,30,Male,Postgraduate,Machine Learning,313,3,87,5,58,Medium,50,Kinesthetic,5,No
S08012,27,Female,Undergraduate,Data Science,144,3,33,26,45,Medium,81,Auditory,5,No
S08013,42,Female,Postgraduate,Cybersecurity,129,3,75,2,62,Low,70,Kinesthetic,3,No
S08014,48,Female,Postgraduate,Machine Learning,199,1,68,8,91,Medium,82,Reading/Writing,3,No
S08015,22,Female,High School,Cybersecurity,323,1,98,22,92,Low,66,Auditory,4,No
S08016,39,Female,High School,Web Development,366,3,58,42,87,High,36,Auditory,2,No
S08017,42,Female,Postgraduate,Data Science,375,4,34,10,68,Low,87,Auditory,2,Yes
S08018,48,Female,High School,Data Science,483,2,70,8,96,Low,68,Visual,2,No
S08019,17,Male,Undergraduate,Web Development,490,3,77,5,73,Medium,95,Visual,2,Yes
S08020,28,Male,Undergraduate,Web Development,394,1,90,2,41,High,85,Visual,3,No
S08021,31,Female,Undergraduate,Data Science,234,1,78,11,94,Medium,94,Visual,4,No
S08022,48,Female,Undergraduate,Data Science,312,2,51,10,80,High,51,Kinesthetic,4,Yes
S08023,22,Male,Undergraduate,Python Basics,282,1,50,18,40,High,71,Reading/Writing,4,No
S08024,42,Male,High School,Data Science,458,3,30,18,81,Low,44,Kinesthetic,5,No
S08025,41,Female,High School,Web Development,253,3,63,5,72,Medium,50,Kinesthetic,3,No
S08026,25,Female,Postgraduate,Data Science,474,3,57,2,85,High,30,Visual,3,No
S08027,45,Female,High School,Data Science,343,4,79,4,49,Medium,63,Kinesthetic,2,No
S08028,46,Male,Postgraduate,Python Basics,46,2,50,2,42,High,30,Kinesthetic,2,No
S08029,24,Female,High School,Data Science,476,1,71,23,63,High,56,Visual,1,Yes
S08030,30,Male,High School,Cybersecurity,260,1,72,29,41,Medium,54,Reading/Writing,2,Yes
S08031,31,Female,High School,Data Science,29,4,53,0,44,Medium,89,Auditory,3,No
S08032,16,Male,High School,Machine Learning,99,3,51,12,48,Medium,98,Auditory,4,No
S08033,17,Male,High School,Python Basics,339,1,74,18,49,High,76,Visual,1,Yes
S08034,45,Female,Undergraduate,Data Science,87,3,44,3,54,High,57,Auditory,1,No
S08035,30,Other,Postgraduate,Python Basics,212,3,68,8,92,Low,57,Reading/Writing,5,No
S08036,18,Male,Undergraduate,Cybersecurity,62,1,40,42,95,High,87,Auditory,4,No
S08037,23,Male,Undergraduate,Machine Learning,373,4,92,35,95,High,43,Auditory,1,No
S08038,47,Male,Undergraduate,Data Science,208,4,39,40,85,High,75,Auditory,4,No
S08039,33,Male,Undergraduate,Web Development,199,1,38,38,92,Low,74,Visual,1,No
S08040,37,Female,Undergraduate,Cybersecurity,490,2,37,9,89,Medium,77,Auditory,1,No
S08041,23,Male,Postgraduate,Web Development,111,4,45,4,80,Medium,91,Reading/Writing,1,No
S08042,38,Female,Postgraduate,Data Science,52,4,99,18,61,Low,48,Visual,2,No
S08043,31,Male,Undergraduate,Web Development,74,3,93,42,62,Medium,75,Visual,2,No
S08044,45,Female,High School,Python Basics,231,3,66,10,65,High,40,Visual,3,No
S08045,47,Female,Undergraduate,Cybersecurity,495,4,92,11,93,High,85,Kinesthetic,5,Yes
S08046,33,Male,Undergraduate,Machine Learning,73,1,60,14,43,Medium,44,Reading/Writing,2,No
S08047,49,Male,Postgraduate,Cybersecurity,292,3,35,3,47,Low,66,Visual,3,No
S08048,16,Female,Undergraduate,Machine Learning,373,2,45,31,90,Medium,50,Kinesthetic,4,No
S08049,25,Male,Undergraduate,Cybersecurity,420,4,36,22,59,Medium,93,Auditory,2,Yes
S08050,28,Female,Undergraduate,Data Science,489,2,51,21,94,Low,43,Kinesthetic,3,No
S08051,32,Male,Undergraduate,Machine Learning,448,2,46,30,44,Medium,75,Visual,1,Yes
S08052,35,Male,Undergraduate,Web Development,136,1,92,23,74,Medium,31,Kinesthetic,2,No
S08053,18,Male,Undergraduate,Web Development,410,3,77,14,96,Medium,45,Visual,1,No
S08054,37,Male,Undergraduate,Machine Learning,267,3,63,2,43,Medium,46,Auditory,2,No
S08055,36,Female,High School,Web Development,247,1,69,0,80,Low,62,Kinesthetic,5,Yes
S08056,15,Female,Undergraduate,Python Basics,388,2,80,18,42,High,46,Kinesthetic,4,No
S08057,48,Male,Undergraduate,Python Basics,92,1,87,48,43,Medium,42,Reading/Writing,5,Yes
S08058,33,Other,Postgraduate,Data Science,100,3,36,41,97,Low,65,Kinesthetic,4,No
S08059,22,Female,Postgraduate,Cybersecurity,80,4,60,47,99,Medium,59,Auditory,5,No
S08060,37,Male,High School,Web Development,226,1,44,19,54,Medium,54,Kinesthetic,5,No
S08061,38,Female,Postgraduate,Web Development,33,2,48,44,94,Medium,61,Auditory,1,No
S08062,19,Female,Undergraduate,Data Science,437,1,47,35,46,Low,54,Visual,2,No
S08063,36,Female,Postgraduate,Data Science,89,3,47,7,46,Medium,42,Kinesthetic,2,No
S08064,46,Female,High School,Data Science,94,4,51,32,68,Medium,32,Auditory,2,No
S08065,15,Female,Undergraduate,Cybersecurity,216,1,83,21,59,High,54,Kinesthetic,5,No
S08066,27,Male,Undergraduate,Python Basics,289,4,34,16,55,High,63,Reading/Writing,1,Yes
